"Vino","Denominazione","Colore","Produttore","Descrizione Organolettica","Vitigno","Gradazione Alcolica","Certificazione","Indirizzo","Comune","Provincia","Geolocalizzazione","URL","Telefono","Fonti esterne"
"Sygnum","Epomeo","Bianco","Antonio Mazzella","Vino passito dal colore giallo ambrato lucente.Dopo le prime intense note di albicocca e pesca, i profumi si rincorrono tra sensazioni dolci di fichi secchi e miele, erbe aromatiche e ginestra. Gusto impressiona per la complessità e per la lunghezza finale con ritorno armonico dei profumi.","Biancolella; Forastera; Vitigni Autoctoni","14,5%","I.G.T.","Via Serbatorio 2","Ischia, Fraz. Campagnano","Napoli","40.719424, 13.953070","http://www.ischiavini.it/","081 901541","",
"Biancolella","Ischia","Bianco","Antonio Mazzella","Colore giallo paglierino. Profumo floreale con sfumature di banana. Gusto fresco, delicato, leggermente sapido, di giusto corpo.","100% Biancolella","12%","D.O.C.","Via Serbatorio 2","Ischia, Fraz. Campagnano","Napoli","40.719424, 13.953070","http://www.ischiavini.it/","081 901541","",
"Per'e palummo","Ischia","Rosso","Antonio Mazzella","Colore rosso rubino intenso. Profumo	caratteristico di violetta. Gusto asciutto, giustamente tannico.","100% Piedirosso","12,5%","D.O.C.","Via Serbatorio 2","Ischia, Fraz. Campagnano","Napoli","40.719424, 13.953070","http://www.ischiavini.it/","081 901541","",
"Vigna del Lume","Ischia","Bianco","Antonio Mazzella","Colore giallo paglierino. Profumo floreale e di frutta quasi matura. Gusto fresco, delicato, leggermente sapido.","100% Biancolella","13%","D.O.C.","Via Serbatorio 2","Ischia, Fraz. Campagnano","Napoli","40.719424, 13.953070","http://www.ischiavini.it/","081 901541","",
"Ischia Bianco","Ischia","Bianco","Antonio Mazzella","Colore giallo paglierino scarico. Profumo vinoso, con sentori erbacei. Gusto fresco, minerale, di giusta sapidità.","85% Forastera; 15% Vitigni Autoctoni","","D.O.C.","Via Serbatorio 2","Ischia, Fraz. Campagnano","Napoli","40.719424, 13.953070","http://www.ischiavini.it/","081 901541","",
"Ischia Rosso","Ischia","Rosso","Antonio Mazzella","Colore rubino più o meno intenso. Profumo vinoso con sentore di frutta rossa appena raccolta. Gusto asciutto, giustamente tannico.","Guarnaccia; Piedirosso","12%","D.O.C.","Via Serbatorio 2","Ischia, Fraz. Campagnano","Napoli","40.719424, 13.953070","http://www.ischiavini.it/","081 901541","",
"Vigna di Levante","Ischia","Rosso","Antonio Mazzella","Colore rosso intenso. Profumo	con sentori di frutta rossa con leggere sfumature di speziato. Gusto secco, giustamente tannico.","85% Piedirosso; 15% Aglianico","13%","D.O.C.","Via Serbatorio 2","Ischia, Fraz. Campagnano","Napoli","40.719424, 13.953070","http://www.ischiavini.it/","081 901541","",
"Villa Campagnano","Ischia","Bianco","Antonio Mazzella","Colore giallo dorato. Profumo complesso che evoca la mandorla, la pera appena matura e la frutta sotto spirito. Gusto piacevole e persistente seduce il palato con la morbidezza ed una invitante e fresca nota acida, che lo rende un bianco di eccellente bevibilità.","50% Biancolella; 50% Forastera","13%","D.O.C.","Via Serbatorio 2","Ischia, Fraz. Campagnano","Napoli","40.719424, 13.953070","http://www.ischiavini.it/","081 901541","",
"Forastera","Ischia","Bianco","Antonio Mazzella","Colore giallo paglierino scarico. Profumo vinoso, con sentori erbacei. Gusto fresco, minerale, di giusta sapietà.","85% Forastera; 15% Vitigni Autoctoni","12%","D.O.C.","Via Serbatorio 2","Ischia, Fraz. Campagnano","Napoli","40.719424, 13.953070","http://www.ischiavini.it/","081 901541","",
"Lacryma Christi Rosato","Vesuvio","Rosato","Azienda Agricola Ametrano","Vino fragrante dal sapore inconfondibile, accoppia in sé la freschezza dei bianco e la giusta corposità del rosso giovane. Il suo profumo intenso e gradevole ricorda la ginestra e la zagara. Dal sapore asciutto e armonico e profumo molto intenso e gradevole.","90% Piedirosso; 10 Aglianico","12-14%","D.O.C.","Via Gioacchino Murat, 21","Torre Annunziata","Napoli","40.756583, 14.452978","http://www.ametrano.it/","081 8622873","",
"Aglianico Pompeiano","Pompeiano","Rosso","Azienda Agricola Ametrano","Di colore rubino, che vira all’aranciato nell’invecchiamento, ha profumo intenso, invitante e asciutto, con persistenti aromi di frutti selvatici. Il suo gusto è gradevole e leggermente tannico.","100% Aglianico","12-14%","I.G.T.","Via Gioacchino Murat, 21","Torre Annunziata","Napoli","40.756583, 14.452978","http://www.ametrano.it/","081 8622873","",
"Lacryma Christi Bianco","Vesuvio","Bianco","Azienda Agricola Ametrano","Il suo sapore inconfondibile, pieno e morbido, è ottenuto con la sapiente miscela di uve selezionate Coda di Volpe e Falanghina coltivate sui declivi del vulcano. Vino di grande versatilità e di facile abbinamento, ha colore giallo paglierino e profumo lieve che ricorda fiori di ginestra e frutti maturi.","90% Coda di Volpe; 10% Falanghina","12-14%","D.O.C.","Via Gioacchino Murat, 21","Torre Annunziata","Napoli","40.756583, 14.452978","http://www.ametrano.it/","081 8622873","",
"Falanghina Pompeiano","Pompeiano","Bianco","Azienda Agricola Ametrano","Vino bianco di colore giallo paglierino chiaro, all’olfatto presenta una buona intensità aromatica, aggressiva ma piacevole, con spiccate note di mela verde, ananas acerbo e bergamotto. Il sapore secco, ben strutturato ed il profumo gradevole, armonico e fine lo rende un vino molto equilibrato e versatile.","100% Falanghina","12-14%","I.G.T.","Via Gioacchino Murat, 21","Torre Annunziata","Napoli","40.756583, 14.452978","http://www.ametrano.it/","081 8622873","",
"Lacryma Christi Rosso","Vesuvio","Rosso","Azienda Agricola Ametrano","Il suo colore, rubino intenso, presenta riflessi violacei ed il profumo ricorda la violetta e fiori di mammola, cui si accompagnano note di liquirizia e legni nobili. Ha gusto gradevole, di grande struttura e morbidezza.","80% Piedirosso; 20% Aglianico","12-14%","D.O.C.","Via Gioacchino Murat, 21","Torre Annunziata","Napoli","40.756583, 14.452978","http://www.ametrano.it/","081 8622873","",
"Piedirosso Pompeiano","Pompeiano","Rosso","Azienda Agricola Ametrano","Il Piedirosso Pompeiano è un vino dal gusto armonico e corposo, ottenuto con uve piedirosso coltivate sui declivi del Vesuvio. Di colore rosso rubino e profumo intenso e fruttato, ha un sapore che ricorda frutti rossi maturi e prugna, con lievi sentori di tabacco, caffè e spezie.","100% Piedirosso","12-14%","I.G.T.","Via Gioacchino Murat, 21","Torre Annunziata","Napoli","40.756583, 14.452978","http://www.ametrano.it/","081 8622873","",
"Vigna Quattro Confini","Irpinia","Rosso","Azienda Agricola Benito Ferrara","Colore rosso rubino profumo di frutta rossa di bosco in particolare marasca e viola e dal sapore asciutto, armonico e vellutato.","","13%","D.O.C.","Frazione San Paolo, 14/A","Tufo","Avellino","41.019496, 14.822287","http://www.benitoferrara.com/index.php/it-it/",825.998194,"",
"Passo Del Lupo","Irpinia","Rosso","Azienda Agricola Benito Ferrara","Colore rosso rubino profumo di frutta rossa di bosco in particolare marasca e viola e dal sapore asciutto, armonico e vellutato.","","12,5%","I.G.P.","Frazione San Paolo, 14/A","Tufo","Avellino","41.019496, 14.822287","http://www.benitoferrara.com/index.php/it-it/",825.998194,"",
"Due Chicchi","Greco di Tufo","Bianco","Azienda Agricola Benito Ferrara","Vino di colore giallo paglierino; gradevoli note floreali e fruttate, dal sapore secco.","","12,5%","I.G.P.","Frazione San Paolo, 14/A","Tufo","Avellino","41.019496, 14.822287","http://www.benitoferrara.com/index.php/it-it/",825.998194,"",
"Vigna Cicogna","Greco di Tufo","Bianco","Azienda Agricola Benito Ferrara","Vino di colore giallo paglierino più o meno intenso, netto, dal sapore secco, gradevolmente armonico, con l’inconfondibile sentore di mandorla amara.","","13%","D.O.C.G.","Frazione San Paolo, 14/A","Tufo","Avellino","41.019496, 14.822287","http://www.benitoferrara.com/index.php/it-it/",825.998194,"",
"Sequenzha","Fiano di Avellino","Bianco","Azienda Agricola Benito Ferrara","Vino di colore giallo paglierino, con profumi ampi ed eleganti dai sentori di nocciola tostata, ha sapore asciutto, armonico, vellutato e fresco.","","13%","D.O.C.G.","Frazione San Paolo, 14/A","Tufo","Avellino","41.019496, 14.822287","http://www.benitoferrara.com/index.php/it-it/",825.998194,"",
"Terra D'Uva","Greco di Tufo","Bianco","Azienda Agricola Benito Ferrara","Vino di colore giallo paglierino più o meno intenso, netto, dal sapore secco, gradevolmente armonico, con l’inconfondibile sentore di mandorla amara.","","13%","D.O.C.G.","Frazione San Paolo, 14/A","Tufo","Avellino","41.019496, 14.822287","http://www.benitoferrara.com/index.php/it-it/",825.998194,"",
"Vigna Quattro Confini","Taurasi","Rosso","Azienda Agricola Benito Ferrara","Colore rosso rubino profumo di frutta rossa di bosco in particolare marasca e viola e dal sapore asciutto, armonico e vellutato.","","13%","D.O.C.G.","Frazione San Paolo, 14/A","Tufo","Avellino","41.019496, 14.822287","http://www.benitoferrara.com/index.php/it-it/",825.998194,"",
"Aglianico Campania","Campania","Rosso","Azienda Agricola Di Meo","Rosso rubino. Bouquet di sottobosco e liquirizia. Sapore asciutto, armonico e vellutato.","100% Aglianico","13%","I.G.T.","Contrada Coccovoni, 1","Salza Irpina","Avellino","40.926143, 14.886872","http://www.dimeo.it/","0825 981419","",
"Aglianico Rosato Campania","Campania","Rosato","Azienda Agricola Di Meo","Rosa intenso. Odore delicato, con note fruttate di lamponi ed albicocca. Sapore vellutato, con sentori di pesca e fragola, grande persistenza e mineralità.","100% Aglianico","12,5%","I.G.T.","Contrada Coccovoni, 1","Salza Irpina","Avellino","40.926143, 14.886872","http://www.dimeo.it/","0825 981419","",
"Isso","Campania","Rosso","Azienda Agricola Di Meo","Rosso rubino intenso. Bouquet di marasca, frutti di bosco. Sapore asciutto, fresco, delicato e armonico.","100% Aglianico","12%","I.G.T.","Contrada Coccovoni, 1","Salza Irpina","Avellino","40.926143, 14.886872","http://www.dimeo.it/","0825 981419","",
"Fiano di Avellino","Fiano di Avellino","Bianco","Azienda Agricola Di Meo","Giallo paglierino con riflessi verdognoli. Sentori di nocciola tostata. Fresco, intenso, caratteristico e persistente.","100% Fiano","12,5%","D.O.C.G.","Contrada Coccovoni, 1","Salza Irpina","Avellino","40.926143, 14.886872","http://www.dimeo.it/","0825 981419","",
"Don Generoso","Irpinia","Rosso","Azienda Agricola Di Meo","Rosso rubino intenso. Profumo di frutti di bosco, dal bouquet ampio ed intenso. Sapore armonico, avvolgente ed equilibrato.","75% Aglianico; 15% Piedirosso; Altri Vitigni","13,5%","I.G.T.","Contrada Coccovoni, 1","Salza Irpina","Avellino","40.926143, 14.886872","http://www.dimeo.it/","0825 981419","",
"Greco di Tufo","Greco di Tufo","Bianco","Azienda Agricola Di Meo","Giallo paglierino, vivace e brillante. Ampio ed intenso con sentori di pesca e mandorla. Fresco, armonico, caratteristico e persistente.","100% Greco","12,5%","D.O.C.G.","Contrada Coccovoni, 1","Salza Irpina","Avellino","40.926143, 14.886872","http://www.dimeo.it/","0825 981419","",
"Falanghina","Campania","Bianco","Azienda Agricola Di Meo","Giallo paglierino scarico. Caratteristico, intenso e speziato. Fresco, armonico e deliccato.","100% Falanghina","12,5%","I.G.T.","Contrada Coccovoni, 1","Salza Irpina","Avellino","40.926143, 14.886872","http://www.dimeo.it/","0825 981419","",
"Alessandra","Fiano di Avellino","Bianco","Azienda Agricola Di Meo","Giallo paglierino con riflessi dorati.Sentori di frutta matura, miele e nocciole tostate. Fresco, intenso, caratteristico ed armonico.","100% Fiano","13%","D.O.C.G.","Contrada Coccovoni, 1","Salza Irpina","Avellino","40.926143, 14.886872","http://www.dimeo.it/","0825 981419","",
"Colle dei Cerri","Fiano di Avellino","Bianco","Azienda Agricola Di Meo","Giallo paglierino con riflessi dorati. Sentori di frutta matura e nocciola tostata. Intenso, pieno ed armonico.","100% Fiano di Avellino","13,5%","D.O.C.","Contrada Coccovoni, 1","Salza Irpina","Avellino","40.926143, 14.886872","http://www.dimeo.it/","0825 981419","",
"Selezione Erminia Di Meo","Fiano di Avellino","Bianco","Azienda Agricola Di Meo","Giallo dorato. Si caratterizza per un elegante profumo di frutta matura e tostata, che si completa con delicate note di frutta secca ed uno spiccato fumé.","100% Fiano di Avellino","13,5%","D.O.C.","Contrada Coccovoni, 1","Salza Irpina","Avellino","40.926143, 14.886872","http://www.dimeo.it/","0825 981419","",
"Coda di Volpe","Campania","Bianco","Azienda Agricola Di Meo","Giallo paglierino. Aromatico ed intenso. Intenso, vinoso, molto pieno.","Coda di Volpe; Fiano; Greco","12%","I.G.T.","Contrada Coccovoni, 1","Salza Irpina","Avellino","40.926143, 14.886872","http://www.dimeo.it/","0825 981419","",
"Taurasi Riserva","Taurasi","Rosso","Azienda Agricola Di Meo","Rosso rubino intenso con lievi riflessi aranciati. Profumo di frutti di bosco, pepe nero, tabacco, lievi sentori di violetta. Sapore asciutto, armonico, equilibrato, pieno e giustamente tannico.","100% Aglianico","13,5%","D.O.C.G.","Contrada Coccovoni, 1","Salza Irpina","Avellino","40.926143, 14.886872","http://www.dimeo.it/","0825 981419","",
"Taurasi Riserva Selezione Hamilton","Taurasi","Rosso","Azienda Agricola Di Meo","Rosso rubino intenso. Odore di frutti di bosco, pepe nero, tabacco, nota balsamica, speziato. Sapore armonico, minerale ed equilibrato, con tannini eleganti.","100% Aglianico","13,5%","D.O.C.G.","Contrada Coccovoni, 1","Salza Irpina","Avellino","40.926143, 14.886872","http://www.dimeo.it/","0825 981419","",
"Fiano","Paestum","Bianco","Azienda Agricola Raffaele Marino","Colore brillante, paglierino con riflessi verdognoli tipici, limpidissimo. Intenso ed elegante, fortemente tipico caratteristico di mandorla amara. Sapore pieno, equilibrato, intenso, caratteristico, di grande corpo, conferma appieno le sensazioni olfattive.","100% Fiano","14,5%","I.G.P.","Via Fontana Saracena, 1","Agropoli","Salerno","40.324933, 14.983715","http://www.vinimarino.it/vini-campani/home.html","0974 821719","http://www.vinidelcilento.com/cantine/dettagli/31",
"Cellaia","Cilento","Bianco","Azienda Agricola Raffaele Marino","Aspetto limpidissimo. Colore giallo paglierino con unghia verdignola. Intenso con aromi e profumi delicati. Fruttato con una buona percezione di ginestra e mandorla. Sapore giustamente acidulo, sapido, pieno ed equilibrato, conferma le sensazioni olfattive.","100% Fiano","12,5%","D.O.P.","Via Fontana Saracena, 1","Agropoli","Salerno","40.324933, 14.983715","http://www.vinimarino.it/vini-campani/home.html","0974 821719","http://www.vinidelcilento.com/cantine/dettagli/31",
"Cellaia","Cilento","Rosato","Azienda Agricola Raffaele Marino","Colore rosa più o meno intenso. E’ dominante la percezione aromatica della rosa e dell’albicocca matura. Si avvertono sfumature di frutta secca. Sapore asciutto, armonico, fresco. retrogusto gradevole, ammandorlato, persistente.","100% Sangiovese","12,5%","D.O.P.","Via Fontana Saracena, 1","Agropoli","Salerno","40.324933, 14.983715","http://www.vinimarino.it/vini-campani/home.html","0974 821719","http://www.vinidelcilento.com/cantine/dettagli/31",
"Proclamo Riserva","Cilento","Rosso","Azienda Agricola Raffaele Marino","Colore rosso rubino intenso, mantiene un’unghia di lievi riflessi violacei. Dominano i sentori di marasca e di rosa. Si percepisce il profumo di spezie e tabacco. Sapore pieno, completo, autoritario.","100% Aglianico","15%","D.O.P.","Via Fontana Saracena, 1","Agropoli","Salerno","40.324933, 14.983715","http://www.vinimarino.it/vini-campani/home.html","0974 821719","http://www.thewineitalia.com/articoli/rif000016_I_1678_PROCLAMO-CILENTOAGLIANICO-DOP-RISERVAAgricola-MarinoPrezzo--.aspx",
"Piedirosso","Paestum","Rosso","Azienda Agricola Raffaele Marino","Colore rosso rubino più o meno carico con sfumature granate. Profumo intenso, vinoso, elegante con buona percezione di fruttato. Complesso, finissimo, piacevolmente aromatico. Sapore vellutato, ricco, intenso, persistente, armonioso. Caldo, di grande struttura, appena tannico. Sapore ampio e ben articolato nel quale affiora ricca e piacevole una piena nota aromatica caratteristica.","100% Piedirosso","13%","I.G.P.","Via Fontana Saracena, 1","Agropoli","Salerno","40.324933, 14.983715","http://www.vinimarino.it/vini-campani/home.html","0974 821719","",
