"Vino","Denominazione","Colore","Tipologia","Produttore","Descrizione Organolettica","Vitigno","Gradazione Alcolica","Certificazione","Indirizzo","Comune","Provincia","Geolocalizzazione","URL","Telefono","Fonti esterne"
"Falanghina Sannio Taburno","Falanghina del Sannio Taburno","Bianco","Falanghina","Cantina La Fortezza","Colore giallo paglierino con riflessi verdognoli; profumo fresco con note di agrumi e fiori bianchi; vino dalla spiccata acidità ma allo stesso tempo di buon equilibrio e profumo.","100% Falanghina","13%","D.O.C.","Località Tora, 20","Torrecuso","Benevento","41.180125, 14.688867","http://www.lafortezzasrl.it/","0824 886155","",
"Aglianico Riserva","Aglianico del Taburno","Rosso","Aglianico  Riserva","Cantina La Fortezza","Il vino presenta colorazione rosso granato, al naso presenta un aroma intenso di frutti rossi, spezie, tabacco; al palato si presenta caldo, ben strutturato con tannicità non invadente ed un retrogusto di pepe nero.","100% Aglianico","14%","D.O.C.G.","Località Tora, 20","Torrecuso","Benevento","41.180125, 14.688867","http://www.lafortezzasrl.it/","0824 886155","",
"Sannio Fiano","Sannio","Bianco","Fiano","Cantina La Fortezza","Colore giallo paglierino - sentori di frutta a polpa bianca e nocciola tostata, al palato presenta buona acidità e buon corpo.","100% Fiano","13%","D.O.C.","Località Tora, 20","Torrecuso","Benevento","41.180125, 14.688867","http://www.lafortezzasrl.it/","0824 886155","",
"Aglianico del Taburno","Aglianico del Taburno","Rosso","Aglianico","Cantina La Fortezza","Vino dal color rosso rubino, aromi che ricordano i frutti di bosco, al palato morbido, piacevole con note di confettura di amarena","100% Aglianico","13,5%","D.O.C.G.","Località Tora, 20","Torrecuso","Benevento","41.180125, 14.688867","http://www.lafortezzasrl.it/","0824 886155","",
"Sannio Greco","Sannio","Bianco","Greco","Cantina La Fortezza","Colore giallo ambrato; aroma complesso di frutta matura, canditi, miele; sapore morbido, ben strutturato.","100% Greco","13%","D.O.C.","Località Tora, 20","Torrecuso","Benevento","41.180125, 14.688867","http://www.lafortezzasrl.it/","0824 886155","",
"Campore","Vino Spumante","Bianco","Extra Dry","Cantina Riccio","Fruttato, complesso ed elegante, perlage fine e persistente.","","12,5%","V.S.","Contrada Campore","Chiusano di San Domenico","Avellino","40.951519, 14.914735","https://www.cantinariccio.it","0825 985631","",
"I Vini di Janus - Fiano di Avellino","Fiano di Avellino","Bianco","Fiano di Avellino","Cantina Riccio","Il vino presenta un colore giallo paglierino, il profumo intenso e persistente con note floreali e fruttate di frutti gialli, pera e nocciola che si evolvono col tempo in sentori di frutti esotici e richiami mielati, il gusto, di spiccata tipicità, persistente ed equilibrato dà vita ad un vino elegante, fine e longevo.","100% Fiano","","D.O.P.","Contrada Campore","Chiusano di San Domenico","Avellino","40.951519, 14.914735","https://www.cantinariccio.it","0825 985631","",
"Appia Antica Taurasi","Taurasi","Rosso","Taurasi","Cantina Riccio","Di colore rubino intenso con riflessi granati, al naso offre un bouquet ampio e complesso, intenso, con sentori speziati di pepe e noce moscata ed eleganti sfumature balsamiche che si fondono a sensazioni di prugna matura e di liquirizia e caffè. Al gusto è caldo, grasso, opulento, ma anche estremamente fresco e sapido, con la fitta trama tannica. La degustazione lascia in bocca un lungo ricordo di frutta matura e torrefazione.","100% Aglianico","","D.O.C.G.","Contrada Campore","Chiusano di San Domenico","Avellino","40.951519, 14.914735","https://www.cantinariccio.it","0825 985631","",
"I Vini di Janus - Greco di Tufo","Greco di Tufo","Bianco","Greco di Tufo","Cantina Riccio","Il colore giallo paglierino con riflessi dorati, il profumo intenso e persistente con sentori di pesca bianca, albicocca e mandorla dolce, misti a note minerali ed agrumate, il sapore vigoroso, fresco e ricco descrivono un vino di carattere e di spiccata tipicità","100% Greco","","D.O.P.","Contrada Campore","Chiusano di San Domenico","Avellino","40.951519, 14.914735","https://www.cantinariccio.it","0825 985631","",
"I Vini di Janus - Aglianico","Irpinia","Rosso","Aglianico","Cantina Riccio","Di colore rubino intenso dai riflessi violacei, ha profumi intensi, fruttati con note varietali di amarena, mora selvatica e prugna, sentori speziati e tostati. Elegante e morbido, ha lunghezza sorprendente con piacevoli note di frutti rossi maturi, notevole struttura adatta per una lunga conservazione.","100% Aglianico","","D.O.P.","Contrada Campore","Chiusano di San Domenico","Avellino","40.951519, 14.914735","https://www.cantinariccio.it","0825 985631","",
"I Vini di Janus - Falanghina","Campania","Bianco","Falanghina","Cantina Riccio","Colore giallo paglierino, caratteristico profumo fruttato e di notevole intensità. Sensazioni di acidità e sapidità incrementano progressivamente conferendo un gusto bilanciato e piacevole.","100% Falanghina","","I.G.P.","Contrada Campore","Chiusano di San Domenico","Avellino","40.951519, 14.914735","https://www.cantinariccio.it","0825 985631","",
"Campierti","Falerno del Massico","Rosso","Primitivo","Cantina Zannini","Colore rosso rubino media intensità tipico primitivo, al naso si percepiscono profumi di frutta rossa matura, al palato il vino si presenta di medio volume con tannini morbidi e levigati.","100% Primitivo","14,5%","D.O.P.","Via Vellaria, 20","Falciano del Massico","Caserta","41.166374, 13.950565","http://www.cantinazannini.it/","0823 931108","",
"Campierti Riserva","Falerno del Massico","Rosso","Primitivo Riserva","Cantina Zannini","Colore rosso rubino tipico da primitivo, al naso complesso, con buon equilibrio tra spezie e frutta rossa matura, rotondo al palato, di buona struttura con tannini morbidi vellutati.","100% Primitivo","14,5%","D.O.P.","Via Vellaria, 20","Falciano del Massico","Caserta","41.166374, 13.950565","http://www.cantinazannini.it/","0823 931108","",
"Fidelis","Aglianico del Taburno","Rosso","Aglianico","Cantina del Taburno","Il colore è rosso con i riflessi rubino. L'odore, intenso, è caratterizzato da note di frutti rossi, tabacco e pepe nero. Al gusto si presenta morbido con tannini ben fusi ed un finale persistente caratterizzato da aromi speziati.","90% Aglianico; 10% Sangiovese e Merlot","13%","D.O.C.G.","Via Sala","Foglianise","Benevento","41.1537929,14.670587","http://www.cantinadeltaburno.it/","0824 878898","http://www.agricoltura.regione.campania.it/viticoltura/disciplinari/DOCG_Aglianico_Taburno.pdf;",
"Lacryma Christi del Vesuvio Rosato","Vesuvio","Rosato","Lacryma Christi","Cantina del Vesuvio","Corposo, morbido e persistente. Tipico profumo di violetta e ginestra vesuviana, si avverte anche la pesca bianca.","100% Piedirosso","12,5-13%","D.O.P.","Via Tirone della Guardia, 18","Trecase","Napoli","40.788787, 14.439212","http://www.cantinadelvesuvio.it/","081 5369041","",
"Lacryma Christi del Vesuvio Rosso Riserva","Vesuvio","Rosso","Lacryma Christi Riserva","Cantina del Vesuvio","Corposo, morbido e persistente.Dal tipico profumo di violetta e ginestra vesuviana.","80% Piedirosso; 20% Aglianico","13,5-14,5%","D.O.P.","Via Tirone della Guardia, 18","Trecase","Napoli","40.788787, 14.439212","http://www.cantinadelvesuvio.it/","081 5369041","",
"Lacryma Christi del Vesuvio Bianco","Vesuvio","Bianco","Lacryma Christi","Cantina del Vesuvio","Asciutto al palato. Emana sentori di frutta bianca con profumi floreali.","100% Coda di Volpe","12,5-13%","D.O.P.","Via Tirone della Guardia, 18","Trecase","Napoli","40.788787, 14.439212","http://www.cantinadelvesuvio.it/","081 5369041","",
"Lacryma Christi del Vesuvio Rosso","Vesuvio","Rosso","Lacryma Christi","Cantina del Vesuvio","Corposo, morbido, vinoso e persistente. Tipico profumo di violetta e ginestra vesuviana.","100% Piedirosso","12,5-13%","D.O.P.","Via Tirone della Guardia, 18","Trecase","Napoli","40.788787, 14.439212","http://www.cantinadelvesuvio.it/","081 5369041","",
"Rosso Beneventano","Beneventano","Rosso","","Cantina di Solopaca","Ha colore rubino più o meno intenso, profumi che ricordano la frutta rossa matura. Il sapore è asciutto, di buon corpo, vellutato e armonico.","Uve Rosse delle colline del Beneventano","12%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Cerro del Duca Aglianico","Sannio Solopaca","Rosso","Aglianico","Cantina di Solopaca","Questo vino ha colore rosso rubino intenso. All’olfatto è intensamente fruttato con ricordi di gelso nero, liquirizia, muschio. Il sapore è aromatico tipico, netto, asciutto, armonico, morbido.","100% Aglianico","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Solopaca Bianco Sannio - Prime Vigne","Sannio Solopaca","Bianco","","Cantina di Solopaca","Ha colore paglierino e profumi lievemente esotici  fruttati e floreali. Il sapore è secco, equilibrato,vellutato.","40-60% Trebbiano; 20% Falanghina; 20% Malvasia","13%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Solopaca Rosso Sannio - Prime Vigne","Sannio Solopaca","Rosso","","Cantina di Solopaca","Vino molto tipico che al naso sprigiona sentori di frutta rossa e molecole floreali.","50-60% Sangiovese; 20-40% Aglianico; Max 30% Vitigni autoctoni","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Solopaca Rosato Sannio - Prime Vigne","Sannio Solopaca","Rosato","","Cantina di Solopaca","Ha colore rosa più o meno intenso e profumi delicati, fruttati e floreali.Il sapore è secco, morbido, armonico.","50-60% Sangiovese; 20-40% Aglianico; Max 20% Vitigni autoctoni","13%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Falanghina del Sannio","Falanghina del Sannio","Bianco","Falanghina","Cantina di Solopaca","Ha colore paglierino e profumi  floreali caratteristi. Il sapore è asciutto, armonico e fresco.","100% Falanghina","13%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Amabile Campania","Campania","Bianco","Frizzante","Cantina di Solopaca","Vino piacevolmente frizzante, brioso, naturale, asciutto e leggermente amabile. Dal colore bianco paglierino, di profumo intenso, armonico, vellutat.,","100% Trebbiano","11,5%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Bianco Beneventano - Prime Vigne","Beneventano","Bianco","","Cantina di Solopaca","Ha colore paglierino, sentori fruttati e a volte lievi note floreali. Sapore secco, armonico, giustamente acidulo.","Uve Bianche delle colline del Beneventano","12%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Falanghina Spumante Extra Dry","Vino Spumante","Bianco","Extra Dry","Cantina di Solopaca","All'assaggio presenta sentori fruttati e floreali di fiori gialli con richiami sul minerale. Al palato è fresco e sapido con perlage setoso e morbidezza conferita dal residuo zuccherino.","100% Falanghina","12%","V.S.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Aglianico Sannio Solopaca - Prime Vigne","Sannio Solopaca","Rosso","Aglianico","Cantina di Solopaca","Vino dal colore rubino più o meno intenso. Ha profumo vinoso e gradevole con sentori frutta rossa , ricordi di fragola e lampone. Il sapore è tipico, asciutto, armonico, vellutato.","100% Aglianico","13,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Falanghina del Sannio Solopaca - Prime Vigne","Falanghina del Sannio Solopaca","Bianco","Falanghina","Cantina di Solopaca","Ha colore paglierino e profumi  floreali caratteristi. Il sapore è asciutto, armonico e fresco.","100% Falanghina","13%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Falanghina Beneventano Frizzante","Beneventano","Bianco","Falanghina Frizzante","Cantina di Solopaca","Ha colore paglierino, spuma vivace a media persistenza e al naso evidenzia sentori di frutta esotica, ginestra e lieve crosta di pane. Il sapore è lievemente abboccato,  fresco, sapido.","85% Falanghina; Vitigni autoctoni del Beneventano","11,5%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Falanghina Beneventano Frizzante","Beneventano","Bianco","Falanghina Frizzante","Cantina di Solopaca","Ha colore paglierino, spuma vivace a media persistenza e al naso evidenzia sentori di frutta esotica, ginestra e lieve crosta di pane. Il sapore è lievemente abboccato,  fresco, sapido.","85% Falanghina; Vitigni autoctoni del Beneventano","11,5%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Rosso Beneventano - Prime Vigne","Beneventano","Rosso","","Cantina di Solopaca","Ha colore rubino più o meno intenso, profumi che ricordano la frutta rossa matura. Il sapore è asciutto, di buon corpo, vellutato e armonico.","Uve Rosse delle colline del Beneventano","12%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Falanghina Beneventano - Prime Vigne","Beneventano","Bianco","Falanghina","Cantina di Solopaca","Vino dal colore paglierino più o meno intenso con profumi fruttati e floreali . Il sapore è asciutto, armonico, fresco.","100% Falanghina","12%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Fiano Sannio - Selezione Oro","Sannio","Bianco","Fiano","Cantina di Solopaca","Questo vino ha colore giallo paglierino, dal profumo floreale e fruttato con note vegetali; al gusto è secco ed equilibrato.","100% Fiano","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Pezzalonga Fiano","Sannio","Bianco","Fiano","Cantina di Solopaca","Vino particolarmente tipico dal colore paglierino, odore gradevolmente fruttato e  sapore  secco, armonico, delicato.","100% Fiano","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Fiano Sannio","Sannio","Bianco","","Cantina di Solopaca","Vino particolarmente tipico dal colore paglierino, odore gradevolmente fruttato e  sapore  secco, armonico, delicato.","100% Fiano","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Aglianico Beneventano","Beneventano","Rosso","Aglianico","Cantina di Solopaca","Ha colore rubino più o meno intenso e profumo delicato con sentori  di frutta rossa. Il sapore è asciutto, armonico, vellutato.","100% Aglianico","12,5%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Fiano Sannio - Prime Vigne","Sannio","Bianco","Fiano","Cantina di Solopaca","Vino particolarmente tipico dal colore paglierino, odore gradevolmente fruttato e  sapore  secco, armonico, delicato.","100% Fiano","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Greco Sannio","Sannio","Bianco","","Cantina di Solopaca","Vino dal colore giallo paglierino più o meno intenso, profumo fruttato e floreale, sapore secco, equilibrato.","100% Greco","12,5%","D.O.P.","Via Bebania, 44Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Solopaca Rosso Superiore - Prime Vigne","Sannio Solopaca","Rosso","Superiore","Cantina di Solopaca","Vino dal colore rubino più o meno intenso tendente al rosso mattone con l’invecchiamento. Il profumo è intenso, caratteristico, delicato,composito di viola, fragola, marasca e muschio. Il sapore è asciutto, armonico, vellutato.","50-60% Sangiovese; 20-40% Aglianico; Max 30% Vitigni autoctoni","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
